section_id,course_num,tid,class_time,room_no
360493,677603,588859,Monday 14:56,809810
492111,954134,989773,Saturday 18:04,860952
565983,928384,436552,Thursday 09:35,921637
886047,383959,896167,Monday 15:01,698444
685818,733205,409003,Friday 03:10,694650
634225,108145,125287,Sunday 08:48,266708
809021,723586,281143,Monday 08:55,986796
621230,731971,473516,Sunday 21:22,246429
680504,600404,745646,Sunday 12:24,970344
739810,356788,749696,Sunday 20:11,304055
593664,946687,953889,Wednesday 13:46,783268
679012,417261,236323,Tuesday 09:42,389494
412160,218617,258733,Tuesday 23:09,781519
120842,521635,510204,Wednesday 11:15,686519
382097,597731,238557,Friday 08:46,155431
604744,338035,896167,Friday 14:48,743415
716456,796144,289490,Tuesday 18:08,607174
230680,894268,365422,Thursday 08:35,810945
897683,874299,569297,Thursday 10:44,501498
113370,845233,111078,Tuesday 14:00,730087
866512,668798,111898,Monday 02:18,526316
185732,770816,551240,Monday 16:43,655331
697579,217895,432181,Sunday 21:49,576793
549457,770816,436552,Wednesday 19:17,783564
751624,657247,238557,Saturday 00:20,935236
230368,996093,551240,Sunday 11:52,736319
908113,964056,859328,Sunday 18:00,214889
348443,918010,357573,Friday 02:22,503808
295906,170907,393802,Tuesday 14:07,637848
952822,524357,280528,Sunday 05:49,811236
750198,733205,230917,Thursday 06:09,228815
901560,426740,979141,Wednesday 15:28,408428
379588,256621,130613,Tuesday 03:50,888363
550966,802597,561720,Sunday 23:32,296390
802801,452243,281143,Sunday 10:53,598629
909326,733072,357573,Thursday 05:44,268606
489131,655432,750426,Saturday 11:51,640656
532471,833582,409003,Sunday 18:48,169571
958024,686415,508776,Tuesday 04:42,996499
923145,148732,409003,Wednesday 21:06,748042
985022,674867,582120,Monday 23:42,344959
357004,918750,369859,Thursday 17:28,911704
479665,136664,280528,Friday 05:47,828535
208197,902402,469104,Sunday 15:13,533116
340515,977210,258733,Thursday 13:04,467326
204941,440971,561720,Friday 12:29,881499
968456,349449,820241,Friday 13:56,160021
100983,230487,436552,Tuesday 09:14,247090
738382,618196,409003,Wednesday 07:57,629150
966030,926401,235089,Thursday 05:24,108050
174948,668257,943249,Tuesday 08:24,609749
538298,471523,280528,Thursday 07:40,513975
888491,486674,383379,Sunday 01:26,431651
721254,930854,715093,Monday 00:37,316350
754513,453883,432181,Tuesday 19:14,319032
641627,345711,130613,Monday 19:15,906602
574687,725000,365422,Friday 02:50,142664
470177,455154,230917,Monday 19:43,416347
246041,359046,289490,Monday 15:44,130091
555631,464412,621128,Tuesday 01:59,964560
325229,541828,369531,Monday 08:45,106937
959493,220455,469104,Sunday 16:18,630505
132854,731700,242756,Friday 01:02,393627
999966,104309,130613,Tuesday 08:49,288569
666861,752052,656078,Monday 16:45,382851
723424,681843,436552,Friday 14:20,121083
273620,950303,551240,Saturday 21:04,586280
379460,296243,943249,Wednesday 02:46,279582
290464,360155,283724,Monday 04:52,889260
275475,171005,714840,Wednesday 17:21,236958
429611,303205,238557,Sunday 15:54,119894
566218,240005,903310,Friday 18:28,248308
310657,684919,230917,Wednesday 14:33,328376
444931,607935,357573,Sunday 08:11,992658
701139,613386,943249,Thursday 06:05,718186
262667,415419,976925,Tuesday 03:22,437515
936198,891264,357573,Wednesday 03:23,260247
325175,452968,270544,Saturday 00:29,343455
916402,191844,896167,Monday 22:56,551332
532088,967591,569297,Monday 12:59,587752
344371,531821,475219,Thursday 13:43,426750
844509,526079,384953,Sunday 20:43,559336
924670,590173,171631,Tuesday 14:48,930455
198232,150936,979141,Saturday 05:49,901643
211473,769991,230917,Friday 17:22,347724
530415,915787,749696,Saturday 06:16,118445
294800,346717,365422,Friday 22:23,463970
923903,615496,125054,Tuesday 04:36,341103
703854,526079,989773,Monday 22:17,553577
838737,198395,289490,Wednesday 14:38,478268
811559,148362,748902,Tuesday 09:30,603493
790377,885128,230917,Sunday 13:39,749747
411455,694494,383379,Friday 06:03,317087
184815,721115,125054,Monday 05:17,100077
906946,147896,976925,Monday 17:07,227536
338991,944481,111078,Saturday 09:00,322602
515387,860719,238557,Sunday 07:17,334853
682250,448042,325155,Thursday 00:57,591960
483440,626199,714840,Tuesday 11:00,544502
934719,641842,230917,Wednesday 09:33,880132
190949,860719,886424,Wednesday 16:48,516412
298104,823105,551240,Thursday 03:04,337174
625326,593481,750426,Saturday 09:04,380098
505485,541140,283724,Saturday 14:22,668545
911795,313494,989773,Monday 19:47,772441
652742,698078,561720,Wednesday 22:46,240434
973143,351768,859328,Sunday 13:08,659953
187196,969664,953889,Thursday 17:35,950860
672968,177773,860381,Saturday 13:52,121524
940157,857193,111078,Wednesday 03:14,636907
755723,629715,523867,Monday 07:57,585473
215664,680926,278937,Wednesday 01:55,419252
110272,803223,976925,Tuesday 09:28,639673
593453,742194,242756,Friday 18:27,713630
775226,659386,238557,Monday 19:43,684951
476148,264659,235089,Friday 21:31,722220
643849,752052,441947,Thursday 00:21,346264
892234,263556,242756,Wednesday 20:57,220828
188251,206998,432181,Thursday 23:53,280303
982445,783875,665844,Friday 11:29,188968
968353,193588,896167,Saturday 13:49,128158
151313,953196,776028,Sunday 15:00,907201
207007,723638,656078,Monday 17:22,155121
653840,446650,111898,Monday 08:37,936796
112525,387031,369859,Sunday 14:51,230648
766333,467324,258733,Monday 05:13,411209
250372,527651,357573,Sunday 23:57,911632
699032,399975,369859,Wednesday 12:32,324934
161226,243122,776028,Sunday 06:56,420542
832229,601863,714840,Monday 01:09,945620
107658,498480,508776,Friday 16:32,626357
193216,733205,989773,Tuesday 23:23,395124
382227,883149,432181,Saturday 21:42,861005
479306,665673,281143,Sunday 13:55,524582
392787,146376,289490,Wednesday 10:31,941948
557435,891264,607040,Saturday 11:51,492382
421805,874875,860381,Monday 20:46,153435
346574,361880,242756,Tuesday 22:45,226870
133922,174807,469104,Wednesday 05:12,162485
791681,218408,767986,Sunday 06:12,909716
638211,174582,393802,Monday 04:59,917944
836676,577650,441947,Friday 20:26,460710
923842,740149,242756,Saturday 13:06,651061
920676,696362,357573,Wednesday 07:03,356335
109434,680926,989773,Monday 20:44,474852
639794,648690,621128,Monday 21:17,495874
719549,862226,510204,Thursday 21:52,444563
543938,497062,859328,Saturday 20:25,101803
238830,219472,475219,Wednesday 17:50,606335
480208,665673,235089,Friday 12:07,982473
888374,673942,903310,Wednesday 07:22,884323
380496,853348,473516,Tuesday 07:07,862881
313456,686228,270544,Thursday 00:23,589958
859352,607935,125287,Wednesday 15:29,964975
503212,470145,436552,Saturday 19:44,821605
939679,915388,607040,Thursday 13:08,545397
170039,185618,989773,Monday 13:29,506507
216686,878620,389772,Wednesday 21:44,187476
204880,291041,235089,Thursday 22:23,675100
922233,236500,475219,Wednesday 14:24,627474
127229,604258,473516,Friday 05:03,637198
362175,235567,384953,Tuesday 07:27,527267
594086,788115,280528,Saturday 04:24,396352
271565,244595,278937,Wednesday 12:43,204735
125708,540274,389772,Monday 11:33,238289
708599,725395,384953,Thursday 02:53,207619
404379,725977,665844,Saturday 06:30,139617
926421,825200,665844,Friday 15:53,258609
870227,650191,414424,Wednesday 15:33,931789
138155,560263,325155,Thursday 18:34,527621
887275,622583,325155,Friday 03:22,381083
531981,720660,325155,Tuesday 19:19,620140
281875,221669,171631,Tuesday 03:39,159724
637573,149030,560632,Monday 00:56,730092
400876,612112,941225,Thursday 09:50,501721
717657,712984,715093,Monday 07:55,394684
476638,733713,236323,Sunday 11:45,308582
964266,655814,230917,Monday 08:26,625221
594468,902402,569297,Sunday 10:37,251640
483554,250053,242756,Friday 15:22,599551
802217,222976,171631,Saturday 23:21,772038
295322,318535,242756,Sunday 13:26,584587
889921,723613,130613,Friday 00:22,608096
296548,253310,979141,Friday 23:46,942967
439902,845233,953889,Thursday 07:06,824337
500113,421738,258733,Friday 06:02,896055
756868,432161,682827,Wednesday 10:50,132680
536353,364178,621128,Monday 20:07,585692
252021,862226,941225,Monday 10:44,679323
580005,116042,523867,Monday 20:17,940939
975858,679531,560632,Tuesday 07:04,869640
889139,153950,582120,Tuesday 01:22,663491
449948,256109,409003,Friday 03:25,944266
878228,844328,441947,Wednesday 20:18,120368
962500,551420,524866,Friday 16:09,309617
959054,707108,607040,Wednesday 06:14,584042
949962,196877,588859,Saturday 14:31,818760
599964,322550,941225,Sunday 16:52,696947
289680,579534,714840,Friday 06:38,114874
773497,212123,171631,Monday 06:50,157134
827138,793200,270544,Tuesday 09:09,292295
711726,338100,384953,Tuesday 17:58,893392
150910,964821,325155,Tuesday 13:43,413004
330795,939389,475219,Tuesday 07:35,541097
590606,319944,236323,Tuesday 21:04,761973
624279,263556,212481,Thursday 16:41,558818
918724,595545,989773,Friday 23:33,836650
324063,978598,281143,Tuesday 19:48,582548
584750,803223,860381,Tuesday 20:55,984364
564552,814630,742744,Tuesday 16:34,845111
320869,912269,270544,Monday 21:54,980030
604173,873381,361385,Wednesday 14:06,364006
659657,564681,893476,Friday 11:20,234877
330889,260940,560632,Monday 09:19,814663
688292,948540,270544,Thursday 04:30,129087
450541,338100,125287,Tuesday 08:53,355016
795776,348184,393802,Sunday 07:58,347808
884793,840796,665844,Sunday 20:10,232189
978430,659386,389772,Tuesday 09:23,182753
358003,885201,369531,Monday 10:54,101807
906286,954215,383379,Monday 15:03,157306
541672,550377,409003,Monday 04:21,439379
650081,674579,369859,Saturday 22:55,654372
120065,256109,258733,Sunday 09:53,644069
652214,547709,278937,Monday 02:41,485368
177353,259299,893476,Tuesday 23:27,172509
688614,115039,750426,Sunday 14:10,873703
852550,302530,111078,Wednesday 22:43,146702
473718,665673,130613,Friday 18:53,752077
634564,647128,357573,Sunday 16:25,228909
656104,203181,953889,Sunday 04:54,615175
809251,199207,903310,Saturday 07:07,679895
512830,250053,436552,Thursday 10:37,395512
218789,323611,235089,Monday 06:37,305934
316721,833582,357573,Friday 08:24,392981
126009,325032,383379,Saturday 11:07,323933
676106,538230,230917,Saturday 19:58,239315
351938,213266,441947,Sunday 07:03,968967
771849,545890,361385,Friday 19:03,386714
646183,364469,943249,Wednesday 06:23,242292
827497,146438,742744,Sunday 13:48,739438
830513,338035,389772,Friday 01:33,416418
416208,446650,369859,Sunday 05:24,930161
218965,873381,230917,Tuesday 10:49,983404
743328,642531,125287,Friday 16:33,740479
807610,387031,607040,Thursday 07:32,276035
584832,918010,258733,Thursday 01:55,341348
737778,796144,361385,Saturday 05:29,525303
503973,471523,111078,Monday 09:53,691601
241536,458422,745646,Wednesday 18:18,457464
968123,186386,953889,Sunday 21:46,921918
756732,378549,365422,Sunday 03:37,621050
831288,433304,715093,Thursday 14:13,765584
661908,593481,989773,Friday 19:12,109284
173034,104309,235089,Friday 17:17,512216
186480,448248,212481,Thursday 10:23,772543
984570,323611,278937,Wednesday 18:13,492996
128372,154155,886424,Saturday 09:34,171489
607719,733668,361385,Sunday 05:10,642374
188012,749338,989773,Wednesday 23:20,700963
658014,538469,767986,Monday 17:04,133004
636496,548212,524866,Thursday 03:29,961220
399968,378549,745646,Friday 23:47,486024
957485,790756,432181,Thursday 07:21,279772
417631,927062,976925,Tuesday 02:41,623651
787439,673607,559303,Saturday 20:16,400794
353747,331989,436552,Friday 20:27,298308
568339,922737,432181,Friday 15:51,952799
183390,108145,776028,Sunday 22:41,787737
127432,340668,130613,Tuesday 22:41,129978
273424,850077,715093,Tuesday 21:31,754221
630454,559965,682827,Tuesday 19:27,967786
866611,316622,235089,Friday 10:01,181827
446220,100599,767986,Friday 18:18,136691
861223,545514,432181,Thursday 08:37,238874
414567,891411,242756,Friday 20:35,486046
894774,108145,432181,Friday 20:01,769540
169626,129479,441947,Tuesday 07:23,614150
630668,276282,750426,Friday 02:51,164133
552923,660444,361385,Friday 21:19,162075
328983,243122,560632,Wednesday 04:08,515064
226952,847593,436552,Thursday 08:09,140019
745272,637454,682827,Saturday 13:25,447590
274455,380960,171631,Wednesday 14:19,655057
832200,259299,125287,Tuesday 17:11,680456
484575,348184,508776,Friday 05:31,996101
204567,714414,551240,Wednesday 00:26,488036
998370,577018,714840,Wednesday 16:53,745827
678557,504563,409003,Sunday 17:16,754882
395948,638407,510204,Saturday 03:43,642279
158514,838247,665844,Wednesday 07:01,484159
189358,295619,859328,Sunday 23:50,169350
587940,635208,508776,Monday 15:12,480810
423244,534209,393802,Tuesday 01:13,932866
695150,617346,750426,Friday 23:32,158446
194247,219472,776028,Monday 19:17,323490
558501,340668,325155,Wednesday 10:22,366322
144643,116042,953889,Tuesday 15:29,187833
708984,836694,325155,Wednesday 04:31,566572
289888,553156,270544,Sunday 15:56,632788
857348,886599,111898,Saturday 23:26,333716
929037,558179,859328,Thursday 09:11,365930
497611,774990,441947,Thursday 10:08,941713
607051,161256,979141,Monday 20:08,999712
282069,608475,111078,Monday 04:37,988879
303236,684919,745646,Monday 08:31,282003
963149,880416,886424,Thursday 17:18,626374
290918,951404,111078,Sunday 20:48,765777
867887,879688,281143,Thursday 19:53,727982
676985,870317,384953,Monday 23:53,180789
533894,684367,281143,Thursday 09:49,987271
202009,921044,212481,Tuesday 13:53,741151
324720,629715,560632,Monday 04:01,812875
733866,874875,409003,Saturday 17:18,929138
504006,232599,441947,Thursday 14:31,912244
828978,216852,236323,Monday 20:53,492856
858996,938649,270544,Saturday 16:59,926461
871717,779663,361385,Thursday 13:54,212534
606047,118902,989773,Tuesday 05:48,586426
505153,165254,230917,Tuesday 18:28,127732
290191,550115,125287,Sunday 03:35,739897
701382,548217,289490,Sunday 22:37,678593
864311,205559,569297,Sunday 17:12,225831
132606,394492,749696,Sunday 03:34,669688
972775,265378,280528,Wednesday 08:17,299226
347406,745409,943249,Saturday 19:07,988930
334267,310440,860381,Saturday 13:01,997237
555448,690466,582120,Sunday 07:06,697646
559746,840796,280528,Friday 11:22,219926
142693,230215,896167,Wednesday 10:34,606200
296568,274530,561720,Tuesday 05:41,733658
781222,486674,432181,Monday 15:48,833659
962476,387031,258733,Saturday 23:13,530004
793562,779663,414424,Tuesday 07:44,875517
662267,354695,896167,Saturday 00:07,661329
608374,346387,776028,Wednesday 21:17,155937
614504,161256,125287,Friday 17:10,145488
216770,994526,979141,Sunday 05:56,939454
121376,994526,365422,Friday 12:43,344688
672277,174840,469104,Saturday 07:49,392327
899288,571370,111898,Thursday 09:02,830475
251403,541140,561720,Tuesday 23:30,498798
694090,446024,560632,Tuesday 15:01,685941
407304,723599,767986,Wednesday 01:44,276570
557790,524210,523867,Sunday 12:54,586813
852872,717834,125054,Friday 18:04,991784
862965,123776,860381,Saturday 05:03,586480
858818,386918,230917,Thursday 11:37,196404
709391,524210,235089,Thursday 00:00,321100
210952,319271,111898,Tuesday 21:36,590738
879381,442900,997344,Saturday 00:36,659738
153107,196564,283724,Monday 13:52,999811
176192,405836,469104,Thursday 21:06,748647
284652,303205,242756,Sunday 19:17,477294
117615,918580,289490,Monday 11:56,823390
171842,343498,859328,Tuesday 00:38,154337
521797,778276,283724,Sunday 04:40,374380
383194,993831,226654,Monday 03:15,528197
881698,692901,665844,Thursday 08:44,333372
178772,502095,682827,Sunday 03:02,517555
586647,724779,767986,Sunday 22:37,279875
323521,797068,414424,Sunday 00:17,377173
476881,601142,714840,Wednesday 01:15,431894
652305,677603,588859,Friday 19:39,410607
126331,196877,361385,Thursday 19:08,547215
529010,655432,281143,Wednesday 08:01,394381
168167,774990,357573,Sunday 02:40,541208
411866,146376,588859,Saturday 13:35,351392
412881,221709,767986,Wednesday 16:58,519012
566891,363136,749696,Monday 01:26,188254
537800,196078,212481,Sunday 08:14,970543
726609,278053,896167,Wednesday 07:04,801517
957428,528728,230917,Wednesday 16:03,613139
453340,384515,989773,Monday 03:21,861898
585309,731700,560632,Monday 03:21,510340
855947,137911,357573,Thursday 18:27,382165
523252,491726,523867,Monday 10:20,618168
706453,939720,230917,Friday 16:43,817609
544591,845833,523867,Wednesday 06:07,952520
113369,109504,559303,Tuesday 15:28,708876
562458,324109,656078,Friday 10:48,586319
338418,869421,508776,Tuesday 04:45,908564
704218,260940,365422,Tuesday 18:53,611166
503156,855496,742744,Saturday 15:36,806526
798478,494568,979141,Saturday 23:31,575858
377142,333092,111898,Saturday 10:15,829840
562478,216349,714840,Wednesday 06:45,710150
750072,991524,656078,Friday 20:00,732126
486036,565957,270544,Sunday 20:48,596186
660859,165669,409003,Saturday 02:45,397384
453121,442350,441947,Wednesday 09:52,128310
402819,162115,621128,Friday 21:16,741744
863070,597918,236323,Sunday 10:24,138739
833856,605173,130613,Thursday 21:49,936498
229445,294022,441947,Monday 17:35,206794
842028,359046,130613,Wednesday 08:10,650618
929858,348474,281143,Monday 02:46,293111
609990,806605,524866,Thursday 16:16,807627
705874,241045,171631,Thursday 04:15,372193
207813,474840,714840,Wednesday 14:48,269244
135939,932880,469104,Saturday 13:45,313277
687839,538271,473516,Sunday 06:46,369445
115196,937161,111078,Wednesday 10:10,326318
723574,680261,776028,Saturday 17:33,529673
887682,264685,559303,Tuesday 00:19,687843
122779,950303,242756,Wednesday 01:12,107890
257625,239719,365422,Wednesday 01:36,171578
419626,514612,976925,Saturday 02:07,694001
915970,597731,715093,Sunday 12:48,802078
480218,679334,976925,Saturday 08:30,460496
346540,960391,242756,Friday 10:42,876126
186025,141009,130613,Thursday 07:07,777492
689963,890792,893476,Tuesday 02:02,747869
597725,871822,469104,Sunday 13:55,779135
347430,353109,111898,Wednesday 00:35,191449
856915,459371,524866,Thursday 19:50,240626
514066,887284,893476,Saturday 13:22,796901
384896,146438,903310,Thursday 22:51,577747
180270,601863,171631,Tuesday 22:55,245473
857286,717890,389772,Monday 03:05,442068
225032,149030,436552,Wednesday 06:51,319654
597896,642531,893476,Sunday 22:44,504073
337095,585912,750426,Thursday 04:18,593337
611909,407109,475219,Tuesday 21:36,875964
924895,813090,361385,Saturday 01:37,522992
605275,892341,409003,Saturday 18:41,789923
457117,548251,212481,Sunday 18:51,354566
917352,731204,976925,Sunday 17:27,375649
921197,230487,767986,Thursday 19:45,493802
516802,454852,226654,Monday 12:45,235424
152259,547763,409003,Tuesday 02:42,759123
308679,770676,943249,Monday 22:14,402242
523981,725395,893476,Monday 18:54,143427
196383,329406,941225,Wednesday 14:39,471454
582062,265378,524866,Monday 10:39,396531
596583,632625,860381,Monday 14:57,670341
904034,746830,236323,Friday 22:47,980768
548452,531821,475219,Saturday 03:49,653924
421851,265378,369859,Friday 18:33,219857
759087,230215,750426,Wednesday 08:40,263181
325898,232599,714840,Sunday 22:20,455089
781685,959582,523867,Thursday 03:43,904671
378704,174840,369859,Wednesday 05:44,700037
469247,362443,523867,Sunday 09:28,272708
255688,657247,289490,Thursday 02:10,517760
179306,672214,551240,Thursday 01:11,444338
105949,547464,436552,Sunday 15:48,755819
437648,435557,524866,Thursday 08:19,496016
647321,234434,278937,Monday 19:02,312460
905200,938323,560632,Sunday 01:09,597338
232964,142983,941225,Thursday 08:50,222094
259257,510835,767986,Saturday 05:31,758142
383724,894268,369531,Friday 01:56,419533
613570,922737,369531,Sunday 20:57,806692
467205,886175,236323,Tuesday 05:45,479360
536674,434310,383379,Sunday 19:32,618668
551555,154155,414424,Wednesday 06:25,274299
867952,865997,551240,Sunday 03:13,758852
679091,131547,242756,Sunday 12:00,503297
171164,886736,238557,Tuesday 15:27,646690
366042,186248,748902,Thursday 03:00,731495
683448,272217,561720,Friday 12:55,214230
847065,112970,325155,Wednesday 21:13,124313
814688,762630,745646,Thursday 16:39,565975
834842,325032,903310,Friday 07:22,485924
972741,617706,361385,Friday 04:47,544891
550304,794659,510204,Sunday 21:43,327548
412530,346367,859328,Sunday 07:23,298274
835049,218408,283724,Monday 20:24,989714
442203,876898,414424,Monday 12:33,922670
452388,869421,997344,Friday 18:16,418474
796731,882195,997344,Monday 01:45,873016
466149,578518,171631,Wednesday 23:44,355100
418371,740370,559303,Friday 01:16,201130
135510,157112,886424,Sunday 09:19,630714
167593,521382,569297,Sunday 07:03,923201
988732,567154,748902,Friday 16:54,492115
902677,714133,665844,Monday 22:41,336119
514224,147896,561720,Saturday 03:14,320311
143293,485429,389772,Sunday 02:17,320302
887135,109136,893476,Wednesday 02:45,499713
377433,134233,289490,Friday 10:40,845413
518459,519137,357573,Saturday 02:16,178743
195359,101907,289490,Wednesday 10:43,598894
696004,744441,111078,Tuesday 12:16,519496
898021,996093,283724,Friday 05:11,328679
715421,890792,607040,Monday 18:31,534095
173631,633707,524866,Monday 16:31,196566
733575,516101,236323,Saturday 06:18,404693
116434,949103,621128,Monday 16:11,677881
136120,721115,750426,Saturday 22:27,101200
108459,601027,278937,Monday 05:42,892394
351277,461748,943249,Tuesday 04:31,152213
278212,890923,979141,Sunday 22:24,878019
509959,405673,976925,Tuesday 13:02,524930
615548,410361,281143,Monday 21:26,786474
161324,469760,436552,Tuesday 13:54,326528
398828,691351,665844,Thursday 14:52,610921
980284,323234,682827,Saturday 02:38,107648
168547,333092,235089,Saturday 02:00,708363
970570,620271,569297,Thursday 15:41,811281
169073,177773,750426,Tuesday 06:28,699478
496284,691491,893476,Thursday 04:33,748359
415254,308691,280528,Monday 16:10,915031
558278,257149,212481,Sunday 20:45,711207
456234,681843,893476,Sunday 11:40,434606
904565,461966,859328,Wednesday 01:53,800898
522588,485429,742744,Thursday 03:40,251942
384347,476558,997344,Friday 13:11,750788
367367,870317,508776,Thursday 00:45,822280
158939,251222,524866,Thursday 08:31,518305
876275,282565,289490,Wednesday 17:46,220525
370262,407109,607040,Monday 15:29,960694
904819,662926,280528,Thursday 00:33,876443
980692,764617,325155,Saturday 09:15,700076
644577,562672,893476,Sunday 01:05,946354
436272,760577,226654,Wednesday 01:02,176636
452938,475269,682827,Wednesday 16:07,127952
605865,128955,125287,Tuesday 04:55,343152
271650,725977,357573,Friday 22:44,747860
959448,105274,748902,Saturday 01:42,943790
253202,383076,130613,Monday 08:59,654417
969590,265378,859328,Tuesday 05:32,220659
718636,498480,953889,Saturday 23:17,508516
341658,871822,749696,Monday 01:23,407024
557484,345415,559303,Wednesday 13:57,100921
996823,388786,682827,Friday 12:53,621723
689335,596820,682827,Friday 12:31,198519
551650,494204,475219,Wednesday 06:33,529599
261376,684367,886424,Friday 09:29,491564
578831,308691,903310,Wednesday 14:03,209215
412446,187758,365422,Sunday 11:35,224242
154842,174982,607040,Friday 16:45,229849
487472,953196,432181,Monday 22:55,811088
532450,170907,893476,Thursday 20:40,521199
784864,932978,475219,Wednesday 08:07,378358
258524,665402,588859,Monday 02:22,598492
696611,785503,682827,Monday 07:23,758820
488995,975684,997344,Saturday 14:07,712588
365306,917579,436552,Saturday 05:02,540175
437618,561992,270544,Sunday 07:15,549932
656538,868341,561720,Monday 18:21,841742
426935,455843,559303,Saturday 05:03,414324
257093,892314,989773,Monday 04:37,153727
317517,104309,357573,Wednesday 07:25,941265
929729,616662,111078,Friday 00:23,888388
853801,486235,742744,Thursday 20:17,467770
400122,789547,414424,Sunday 15:53,566362
514476,873381,384953,Thursday 19:16,906599
902974,168345,111078,Thursday 02:14,273425
525412,915181,125287,Monday 14:53,613220
620669,275107,171631,Thursday 09:56,617320
394540,323611,524866,Tuesday 16:13,562442
787520,932280,111078,Saturday 13:13,865337
648625,547709,432181,Sunday 18:04,451298
